species_name,taxonomy_ID,species name
Human,9606,homo sapiens
Avian,9031,Gallus gallus
Swine,9823,Sus scrofa
Canine,9615,Canis lupus familiaris
Mink,9655,Mustelidae
Equine,9796,Equus caballus
Mouse,10090,Mus musculus
Meerkat,37032,Suricata suricatta
Seal,39089,Pagophilus groenlandicus
Cat,9685,Felis catus
Raccoon dog,34880,Nyctereutes procyonoides
Tiger,9694,Panthera tigris
Ferret,9655,Mustelidae
Stone marten,9655,Mustelidae
Cheetah,32536,Acinonyx jubatus
Bat,9430,Desmodus rotundus
Wild boar,9823,Sus scrofa
Feline,9685,Felis catus
Panda,212257,Panda
Camel,647690,Camelops
Whale,9749,Delphinapterus leucas
Sloth bear,9636,Melursus ursinus
Lion,9689,Panthera leo
Pika,130829,Ochotona dauurica dauurica
Penguin,9231,Spheniscidae
